skill_raw;observations;skill_normalized;possible_domains;possible_fields;type_of_skill;too_generic
Pipeline Operations;a pipeline could be both a real hydraulic pipeline and an informational one;Pipeline Operations;Hydraulic Engineering, Information Technology;Engineering, Information Technology;Hard;0
Data Room;most data rooms nowadays are just pieces of software, physical data rooms are extremely rare;Data Room;Data Management;Information Technology;Hard;0
WordPress;WordPress is a web development tool;WordPress;Web Development;Information Technology;Hard;0
job advertisements; this skill has two parts, marketing and HR;Recruitment Advertising;Recruitment, Advertising;Human Resources, Marketing;Soft;0
2ε;difficult skill to normalize, since 2ε is a version of LaTeX we will normalize it in that way;LaTeX;Markup Language;Information Technology;Hard;0
employment practices;the knowledge of labor law;Labor Law Knowledge;Labor Law;Human Resources;Soft;0
ability to lead and supervise a team of technicians; the ability to lead a team;Team Leadership;Team Management;Human Resources;Soft;0
SOP’s;SOP is an acronym, that probability stands for Standard Operating Procedures;Standard Operating Procedures;Business Management;Business Management;Soft;0
A&H;A&H is an acronym that stands for Allen & Heath, a company that produces audio mixing equipment;Mixing consoles;Audio Equipment;Miusic;Hard;0
Hilfsassistentin - Institute of Marketing and Business Management;Hilfsassistentin is a German word that stands for assistant;Assistant;Business Management;Business Management;Soft;0
Vendite;Vendite is an Italian word that stands for sales;Sales;Sales;Sales;Soft;0
Stochastic Modelling;Stochastic Modelling is a statistical skill;Stochastic Modelling;Statistics;Mathematics;Hard;0
plant startup and shutdown;this probably refers to experience in the startup and shutdown of industrial plants;Plant Startup and Shutdown;Plant Operations;Operations Management;Hard;0
patent offices;this skill probably refers to the knowledge of patent law;Patent Law;Intellectual Property and Copyright Law;Legal;0
results driven;too generic;Result Driven;Mental Skills;Personal Skills;Soft;1
Technical Report Writing;the ability to write technical reports is a form of comunication;Technical Report Writing;Written Communication;Communication;Soft;0
Patent Law;Patent Law is a legal skill;Patent Law;Intellectual Property and Copyright Law;Legal;0
professional ethics;too generic;Professional Ethics;Mental Skills;Personal Skills;Soft;1
written communication;this skill is a form of communication;Written Communication;Written Communication;Communication;Soft;0
computer software;too generic, but is related to informatics;Computer Software;Computer Skills;Information Technology;Hard;1
goal orientation;too generic;Result Driven;Mental Skills;Personal Skills;Soft;1
ReSharper;ReSharper is a visual studio extesion for software development;ReSharper;Software Development;Information Technology;Hard;0
63 Licenses;the Series 63 is a securities exam and license;Series 63;Financial Securities;Financial Services;Hard;0
lift 50 lbs. on a daily continuous basis;a physical skill;Physical Strenght;Physical Skills;Personal Skills;Hard;0
production supervisor;this is the ability to supervise a production line;Production Supervision;Production Management;Operations Management;Soft;0
asset protection;the ability to protect financial assets;Asset Protection;Financial Security;Financial Services;Soft;0
customer-first mindset;Prioritizazion
API;REST APIs
retail operations;Retail
permitting process;People Management
food handlers license;Food and Beverages Management
network technologies;Network Administration
Broadcast;Communication
Adobe Pymol;Adobe Pymol
regulatory environment;Workplace Policy Conduct
Brand Strategy;Brand Marketing
pneumatic;Tire Maintenance
advocacy strategies;Legal Counseling
Power Plants;Energy Management
Team Working;Teamwork
sales development;Sales
stocking;Product Management
driver assignment;Driver License Ability
SAP system;SAP
Regional Visits;Auditing
Visual basic for application;VBA
Giftings;Marketing Management
health insurance;Healthcare Administration and Management
Chargeback;Financial Services
Human Resources (HR);People Management
ancillary services;Operations Management
business organization;Business Process
Nonprofit Management;Business Management
2014a;Materials Engineering
mechanical skills;Mechanics
Cross Selling;Sales
environmental responsibility;Sustainability
environment.;Sustainability
brand;Brand Marketing
3D GIS;Graphic Design
scheduling;Organizational Skills
Microsoft Hyperion;Business Intelligence
Compositional Analysis;Data Analysis
client portfolio;Project Management
information technology integration;IT Operations & Management
environmental management;Sustaintability
Industrial Protocols;Process Management
ACE;Physical Education
Military Service;Military Service
Cluster;Business Analysis
Inclusive Management;People Management
db administration;Database Administration
self-initiative;Proactivity
proficiency with Microsoft Office programs;Microsoft Office
wrapping;Manufacturing
C++ Builder;C++
DNVGL SESAM suite;Naval Engineering
EPC;Procurement
technical diploma;Operations Management
Sistemi di analisi;Data Analytics
operation;Operations Management
big picture thinking;Problem Solving
beauty industry expertise;Beauty Retail and Sales
respect;Work Ethic
electrical systems operation;Electronics
Container Architecture;Docker
Microsoft Office software;Microsoft Office
heating;MEP Engineering
transaction negotiations;Negotiation
ANNs;ANN
onshore well sites;Naval Engineering
bidding process coordination;Bidding
Web Care;Web Development
fixture management;Management
industrial markets;Business Management
serverless production software;Software Development
inspection management;Auditing
Industrial Performance Management;Performance Analysis
multilingual (English and Spanish;Communication
Consolidation Statements;Consolidation
ISO standards;ISO 14001
Microsoft Data Analytics;Data Analytics
Music Production;Music Production
visualbasic;Communication
Factorization;Accounting
NHibernate;.NET
fluency in written and spoken English and Chinese;Communication
retail industry expertise;Retail
assistance;Customer Support
sfdc;Salesforce
appointment scheduling;Organizational Skills
hybrid environment;People Management
Performance Reports;Performance Analysis
SalesforceIQ;Sales
Contract Reporting;People Management
C-level leadership;Leadership
Excellent communication skills;Communication
customer training;Customer Relationship Management
Internationales Management;Business Development
load assignment;Operations Management
waste/dump trucks;Waste Management
containers technologies;Docker
Sending and Receiving;Operations Management
well data;Environmental Science
operation of plant equipment in accordance with standard operating procedures;Operations Management
demand-side flexibility solutions;Process Management
Product Quality Control;Quality Control
organizational abilities;Organizational Skills
Electronic Repair;Electronics
Business Data Analytics;Data Analytics
people enabler;People Management
technical support;Customer Support
Object-Oriented Programming (OOP);Computer Programming
SAP FMS;SAP
technical knowledge of electric cost components;Electronics
hot/cold weather;Physical Endurance and Skills
client orientation;Customer Support
postgres;PostgresSQL
cloud computing;Cloud-Computing
RFP Management;Business Analysis
strategic intelligence;Problem Solving
project milestones;Project Management
derivatives;New Business
rendering;Graphic Design
accessibility;People Management
energy resources;Energy Management
mechanics;Mechanical Engineering
lifting ability;Physical Endurance and Skills
Contract Management;People Management
security incident identification;Security Protocols
R or Python (working knowledge);Python
Plain Text;Software Development
Pharmaceutical Industry;Pharmacology
sales forecast;Sales
VB.NET;Microsoft VB
supply chain due diligence;Supply Chain Management
Medicinal Chemistry;Medicinal Chemistry
Hydroelectric Power;Power Engineering
strategy consulting knowledge (nice-to-have);Business Strategy
demand side response;Electronics
formulation development;R&D
Microsoft Cognitive Toolkit;Microsoft Cognitive Toolkit
industrial hygiene;Health and Safety
customer base;Customer Relationship Management
Barcode Technology;Product Management
reach truck;Rigid Vehicles
Corporate Outreach;Corporate Governance
basic food hygiene;Food Safety
electrical theory;Electronics
VM Strategy;Virtual Machines
cellular;Telecommunications
Adobe After Effects;Computer Science
Refinery Management;Oil and Gas Management
3rd Party Integrations;REST APIs
Bcorp;Quality Control
attention to detail and organizational skills;Organizational Skills
projects;Project Management
Operational Analytics;Data Analytics
bending;Construction
hse audits;Sustainability
IFRS U.S. GAAP Swiss;Accounting
Figma;Figma
Autodesk MotionBuilder;Autodesk Suite
Web Marketing;Digital Marketing
20/20 Design;2020 Design Live
Statutes;Legal Counseling
AutoCAD WS;AutoCAD
cold environment;Physical Endurance and Skills
Shipments;Delivery Process
photovoltaic panels;MEP Engineering
goal-oriented mindset;Result Driven
Strategic management;Strategic Management
Availability Management;Flexibility
technical lead;Leadership
Applicant Tracking Systems;Talent Acquisition and Recruitment
Site Visit;Auditing
non-linear programming;Computer Programming
vehicle inspection;Automotives
negotiating;Negotiation
building codes;Web Development
information gathering;Data Collection
Talend Open Studio;Talend
Bash;Bash
cloud services;Cloud-Computing
retention;Business Strategy
Editing;Photo Editing
Monte Carlo Simulation;Simulations
Tensorflow;TensorFlow
health and safety knowledge;Health and Safety
English knowledge;English
Smart Grid;Web Development
Infrastructure as Code;Computer Science
Customer Relationship Management;Customer Relationship Management
English and Italian proficiency;Communication
editorial strategy;Publishing
tegova;Operations Management
Erm Framework Development;Risk Management
10b5-1 Plans;Legal Counseling
Rigid suitcase;Apparel and Fashion Design
Forecasting;Data Analysis
structural design;Naval Engineering
automatic transmission;Driver License Ability
Neural Networks;Network Administration
patenting and secretation procedures;Intellectual Property and Copyright Law
ArcGIS Enterprise;ArcGIS
Mem Cancellation;Environmental Science
population studies;Research
selenium;Product Management
HSEQ;HSEQ
production statistics recording;Business Administration
self-driven;Proactivity
Affiliate;Affiliate Marketing
Kali Linux;Cybersecurity
Environmental Protection;Sustainability
Content Factory;Content Marketing
proficiency in Microsoft Word and Excel;Microsoft Office
Customer Workflow;Business Process
bilingual (English plus French or Spanish);Communication
Network Security;Cybersecurity
Accounting nician;Accounting
UiPath;Robotics
training program development;Computer Programming
benchmark analysis;Data Analysis
Oil and Gas Acquisition;Oil and Gas Management
forklift certification;Rigid Vehicles
etc.;Maintenance
Barcode Scanners;Product Management
Fuel Vouchers;Fuel Distribution and Logistics
Webinar;Communication
vehicle cleaning;Automotives
Web Strategy;Web Development
passion for luxury and fashion;Apparel and Fashion Design
cash operations;Accounting
PPE adherence;PPE Management
JavaServerFaces;Java
offshore activities;Naval Engineering
Protein Characterization;Electrochemical Characterization
refined products;Oil and Gas Management
Contracts Administration;People Management
Weebly;Weebly
waste management;Waste Management
risk based approach;Cybersecurity
Omnichannel Clienteling;Business Development
paid sick time;Healthcare Administration and Management
stooping;Physical Endurance and Skills
cost tracking;Accounting
CMRT;Materials Engineering
internal employee dishonesty identification;Security Protocols
record keeping;Business Administration
Portuguese;Portuguese
Simultaneous Translations;Translation
suspension-free;Fleet Maintenance
stability studies;Biochemistry
Mergers & Acquisitions;Mergers & Acquisitions
Trade Union Law;Corporate and Business Law
Microsoft office suite;Microsoft Office
Interpersonal Communication;Communication
360 Feedback;People Management
JSA's;Health and Safety
Database designation;Database Administration
budget management;Budgeting
Post Merger Integration;Mathematics
commitment to environmental responsibility;Sustainability
AACR2;Typography
sales plan development;Business Development
Culture Marketing;Marketing Management
troubleshooting skills;Problem Solving
digital engagement channels;Digital Marketing
Press Association;Brand Marketing
IT architecture;IT Operations & Management
inclusive leadership;Leadership
maintenance specialist;Maintenance
Audience Segmentation;Marketing Management
commercial offers;Business Management
wholesale energy market;Energy Management
AngularJS;Angular
lamination processes;Manufacturing
interfunctional co-working;B2B Marketing
Variations Identification;Data Analysis
content development;Product Development
knowledge of federal and state laws;Federal and State Law
VBA (Visual Basic for Applications);VBA
CRM Administration;Customer Relationship Management
visual merchandising management;Merchandising
product requirements;Product Management
earned media;Digital Marketing
renewable technologies;Sustainability
credit risk;Risk Management
Identity Management;Business Management
user interfaces;User Experience Design
BackupPC;Backup Management
project documentation;Project Management
luxury retail business;Luxury Management
front-end loader operation;Operations Management
Web Development;Web Development
10gen;Accounting
msoffice;Microsoft Office
travel management;Traveling
carpenter apprentice;Construction
Google Chrome;Google Chrome
negotiation skills and ability to balance client requirements with business case needs;Negotiation
influencer culture;Social Media Management
driver training;Training
Ability to deliver new value streams through energy services;Energy Management
professionalism in communicating with senior internal executives;Communication
Rally & Off Road;Automotives
on-premises servers;On-Premises Servers
Fashion Journalism;Journalism
regulatory frameworks;Labor Law Supervision
corporate strategy;Business Strategy
ML toolkits such as TensorFlow;TensorFlow
commercial driver’s license;Driver License Ability
Digitales Marketing;Digital Marketing
and driving;Driver License Ability
audience research;Consumer Behavior Analysis
ADP Payroll;People Management
Semantics;Data Science
Instagram;Social Media Marketing
Adobe Analytics;Adobe
flagship projects;Business Analysis
Daily Floor Planner;Business Management
vision benefits;Benefits Administration
KPI management;Performance Marketing
Revit;Autodesk Suite
consultative sales;Sales
multicultural;Diversity and Inclusion Initiatives Training
monthly profitability;Business Analysis
ability to work long hours in a wind turbine;Physical Endurance and Skills
Press Release Writing;Public Relations
3D Seismic Interpretation;Graphic Design
Car Fault Diagnosis;Automotives
Río Clan;Health and Safety
food safety;Food Safety
Barcode Scanning;Product Management
outcome achievement;Productivity
Structured Products;Product Management
Transactional Legal Documents;Legal Counseling
encryption;Cybersecurity
Charting;Data Visualization
PV modules;MEP Engineering
financial institutions;Financial Services
Power Purchase Agreements (PPAs);Power Engineering
aluminum welding;Product Management
shop tools operation;Operations Management
business process evaluation;Business Process
refrigeration;Food Safety and Regulatory Compliance
Value Propositions;Financial Services
Bandag Master Craftsman certificate;Crafting
presenting information;Communication
Photo;Photography
luxury mindset;Luxury Management
Technological Government;Innovation
Markdown;Cost Analysis
Remote Monitoring;Reporting
benefits;Benefits Administration
Amazon Dynamo;AWS
Crif Architecture;Business Process
A|X values;Computer Programming
market trends analysis;Market Research
3D Secure;Graphic Design
health and wellbeing;Health and Safety
reliable;Accountability
facilities electrical capacity assessment;Power Engineering
B2B marketing;B2B Marketing
availability;Flexibility
fashion trends;Fashion Marketing and PR
contractors specs;Business Process
welding;Product Management
safety and quality mindset;Good Attitude
220-901;Software & Hardware Retailing
Corporate Counsel;Corporate Governance
Vulcanization;Environmental Science
Steam Generator;MEP Engineering
Client Insights Management;Customer Relationship Management
product development roadmaps;Operations Management
6D;Photography
store visit reports;Reporting
Financial Engineering;Financial Services
environmental impact;Sustainability
A&P;Music Publishing
strategy formulation;Business Strategy
HSE reporting;Sustainability
pricing processes;Marketing Management
pinch points;Operations Management
Reinforcement Learning;Training
HR specialist;People Management
AC Nielsen;Financial Services
Local Selling;Business Strategy
excavations;Construction
Power Plant Inspection;Energy Management
Construction Management;Construction
cybersecurity technology;Cybersecurity
professional training;Training
SLAs;Legal Counseling
HSE issues;Sustainability
machinery and equipment maintenance;Maintenance
Red Hat Linux;Red Hat Enterprise Linux
Tech;Tech Savvy
mechanical repairs;Mechanics
battery support systems;Energy Management
Machinery Testing;Process Management
waste reduction;Waste Management
Serbian;Serbian
360 Degree Assessment;Screening
customer-oriented mindset;Business Strategy
Apache Tiles;Apache Tiles
Remediation;Chemistry
driver performance;Driver License Ability
Research assistant;Research
Microsoft Dynamics NAV;Microsoft Dynamics
Project Manager Product Manager;Project Management
competitor analysis;Market Research
quality requirements;Quality Control
uptime KPIs;Performance Marketing
CPA;Accounting
SEO Specialist;SEO
data sheets;Data Management
Cross-functional Team Leadership;Team Management
Monday-Friday;Flexibility
GDPR;Legal Counseling
equipment operation monitoring;Operations Management
Artifact Management;Computer Science
Japanese proficiency;Japanese
Gestione dei Rischi;Risk Management
Food Chemistry;Food Science
test management and reporting;Test-Driven Development
community impact;Public Relations
Media Production;Social Media Marketing
engineering team;Engineering
IT skills (MS Office);IT Operations & Management
regulatory training;Training
AAP;Medical Advice
electronic testing equipment;Electronics
Financial Risk Management;Risk Management
Web Content;Content Marketing
Tableau Desktop;Tableau
Venture Capital;Financial Services
Company Management;Business Management
Gestione vendite;Sales
health and safety compliance;Health and Safety
HR Transformation;HR Analytics
Cloud Troubleshooting;IT Operations & Management
instructor-led training;Teaching and Classroom Instruction
Customer Experience Management;Customer Support
1Password;1Password
attention to detail;Attention to Detail
Customer Bidding;Customer Relationship Management
due diligence & permitting;Regulatory Compliance Law
new business opportunities;New Business
drafting legal memos;Legal Counseling
Webmaster;Web Development
interest in manufacturing reality and production processes;Manufacturing
safety standards;Health and Safety
Consumer Trends Analysis;Consumer Behavior Analysis
user experience (UX);User Experience Design
route planning;Operations Management
ACR;Automation
holidays;People Management
Privacy Act;Data Privacy Compliance and Regulations Law
international standards;Public International Law
Real Time Operation;Operations Management
16PF;Questionnaire
Publicity Management;Marketing Management
Informatique;Computer Science
transmission and distribution;Energy Management
Microsoft Software Development;Software Development
SAP Procurement;SAP
dwell times;Operations Management
68K;Microcontrollers
Forensic Chemistry;Chemistry
LR/MR license;Rigid Vehicles
consultative support;Customer Support
Web Server;Web Development
HNC/HND in engineering or relevant experience;Engineering
P&IDs;Structural Engineering
creative problem solving;Problem Solving
ADK;Computer Science
Windows Control;Computer Science
climatology;Climatology
commercial driving;Business Development
linux servers;Linux
Fintech;Finance
indirect procurements;Procurement
Organizational Behavior;Change Management and Organizational Development
RSS;Digital Marketing
IaaS;Cloud-Computing
Multi-cultural Environment;People Management
EMC Storage;Database Administration
consolidation;Consolidation
Mixing;Audio Mixing
sense of pride in work;Work Ethic
accounts receivable;Accounting
SAP PP;SAP
UML (Unified Modeling Language);Unified Model Language
Site Characterization;Characterization
landfill operations;Sustainability
DWI;Driver License Ability
travel flexibility;Traveling
adobe acrobat;Adobe Acrobat
ability to mentor and empower staff;Mentoring
purchase order;Order Processing
ownership mentality;Entrepreneurship
Android Testing;Android Development
customer relationship building;Customer Relationship Management
Writing;Copywriting
high-end retail;Retail
bachelor's degree in economics;Economics
Export Administration;International Trading
Gucci;Apparel and Fashion Design
M. Sc. in Engineering or Physics;Well Educated
sales engineering;Sales
Accounting;Accounting
communication adaptability;Communication
HR procedures;HR Analytics
Content Marketing;Content Marketing
relationships with stakeholders and third-party suppliers;Economics
Deap;Early Childhood Education and Preschool Teaching
property evaluation;Business Analysis
business control compliance;Organizational Control
Online Backup;Backup Management
luxury fashion knowledge;Fashion Styling and Personal Shopping
Data Analysis;Data Analysis
Synchronous Data Analytics;Data Analytics
ability to complete reports and records associated with maintenance and repairs;Reporting
customer specifications;Customer Relationship Management
IT Auditor;IT Operations & Management
"compliance with safety policies and procedures""";Workplace Policy Conduct
procedure manuals;Communication
Ambient Politics;Politics
community engagement;Public Relations
2016 R2;Materials Engineering
excavators;Rigid Vehicles
Volatility;Finance
Microbiome;Biology
Curious;Good Attitude
determination;Result Driven
Real Time Optimization;Time Management
response;Security Protocols
Document Archiving;Account Management
Quality Management;Quality Control
analytics passion;Data Analytics
Luce;IT Operations & Management
visual directives;Communication
investor presentations;Investor Relations
Software Training;Software Development
WeChat;Communication
high-risk activities;Physical Endurance and Skills
equal opportunities;People Management
ACIS;Graphic Design
upstream technical chemical;Petroleum Engineering
Strategic Financial Management;Financial Analysis
driver management;Operations Management
permitting;Legal Counseling
Column Machine;Automotives
ability to work with multiple discipline projects;Organization Skill
productivity reporting;Reporting
Timeline Management;Time Management
client relationship;Customer Relationship Management
Concur;SAP Concur
Environmental Issues;Environmental Science
vendor relationship management;Customer Relationship Management
RTU;Electronics
software/IT enhancement;IT Operations & Management
Character Modeling;Graphic Design
hse;Sustainability
typescript;JavaScript
ArcGIS Server;ArcGIS
Adobe Experience Manager;Adobe
Operational Cost Analysis;Cost Analysis
experience in analyzing commodity markets (preferably oil or energy sector);Market Research
Corporate Issues;Corporate and Business Law
sustainability planning;Sustainability
Northeast;Northeast
heavy equipment knowledge (including crane and rigging requirements);Rigid Vehicles
motor vehicle operation with clean driving record;Driver License Ability
connectivity metrics;Electrical Wiring
AERMOD;Meteorology
multidisciplinary team communication;Teamwork
PyCharm;PyCharm
Code of Ethics;Work Ethic
system AS400;Computer Science
Authorization;Employment and Labor Law
Financial Mathematics;Financial Services
sales-driven;Sales
people engagement;People Management
Lifesciences;Research
community outreach;Public Relations
Commercial Finance;Business Analysis
in-line automated electrical measurements;Power Engineering
technical problem-solving;Problem Solving
Customer Analysis;Consumer Behavior Analysis
microsoft applications;Microsoft Office
full-price sell-thru;Sales
supply/demand balances;Business Planning
Elastic Load Balancing;AWS
A/R analysis;Accounting
onsite management;Operations Management
shipping and receiving;Operations Management
pilot trials;Reporting
in-store implementation;Process Management
report;Reporting
Transforming Data Analytics;Data Analytics
knowledge of luxury/retail business;Luxury Management
vehicle maintenance;Maintenance
Site Pipework;Industrial Engineering
Consumer Goods;Consumer Behavior Analysis
Microsoft Data Analytics;Data Analytics
KPI monitoring;Performance Marketing
SMOOTHING;Materials Engineering
Layout;People Management
mentorship;Teaching and Classroom Instruction
Tableau experience;Tableau
ability and willingness to work overtime on holidays and weekends and to work on short notice as needed due to on-call scheduling and to respond to site emergencies 24 hours a day;Flexibility
Distributed Energy Management;Energy Management
PFMEA;Quality Control
IT analysis;IT Operations & Management
stock optimization;Inventory Management
ACSP;Cybersecurity
Personnel recruitment;Talent Acquisition and Recruitment
JQuery UI;jQuery
IP Management;Network Administration
Zeitreihenanalyse;Statistics
A3 Thinking;Problem Solving
AGI 32;Computer Science
Barcode Scanners;Product Management
Server Microsoft SQL;Microsoft SQL Server
ISQL;SQL
Github;Software Development
Corporate Finance;Corporate Finance
office programs;Microsoft Office
Store Product Management;Business Administration
Gestione team cross-functional;Team Management
Business Development Intern;Business Development
team-oriented;Teamwork
offshore;Naval Engineering
webex;Cisco Webex
schedule management;Time Management
Administrative Assistant;Administrative Assistance
3D Studio Max;3D Studio Max
Digital Art;Art
Gas Engineering;Petroleum Engineering
infrastructure-as-code;Data Management
commercial law;Corporate and Business Law
regulatory landscape;Business Planning
Data Visualization;Data Visualization
Trend Research;Market Research
Electricity;Electrical Wiring
project handover;Project Management
client-facing;Business Strategy
Transactions;Accounting
Atom;IDE
Software Engineering;Software Development
resourcefulness;Problem Solving
visual and auditory acuity;Physical Endurance and Skills
smart manufacturing;Manufacturing
Computer Science;Computer Science
technical proficiency;Tech Savvy
Catalan;Catalan
HVAC systems;MEP Engineering
Site Construction Management;Construction
financing;Financial Services
Vendor Management;Procurement
mba;Business Management
Chemical Stock Management;Chemistry
Compression;Mechanics
materials for PV module assembly;MEP Engineering
swagger;REST APIs
SAS Software;Software Development
Academic Writing;Communication
demand response;Business Planning
stock distribution;Trading
valid driving license;Driver License Ability
Digital Business;Digital Marketing
Big Data Engineering;Big Data
ENISA;Cybersecurity
competency;Business Analysis
resource planning;Business Planning
travel availability;Traveling
ADDM;Computer Science
route planning and following;Operations Management
Compensation Planning;People Management
CAD Illustration;CAD
women's and men's RTW experience;Clothing Industry Process
urban planning;Industrial Planning
legal chart documentation;Legal Counseling
Technical Translation;Translation
record-keeping skills;Business Administration
Epic;Operations Management
purchase option agreement negotiations;Accounting
project goals;Project Management
recycling collection;Sustainability
store maintenance;Maintenance
Personal Records;People Management
MS Project;Microsoft Office
Stagiaire Online Marketing;Digital Marketing
experienced;Experienced
flexible;Flexibility
visual display management;Communication
Venture Structuring;Financial Services
risk evaluation;Risk Management
hybris;SAP
offshore oil and gas industry;Oil and Gas Management
Learning Innovation;E-Learning and Educational Technology
Oil & Products;Oil and Gas Management
motor mechanic;Mechanics
renewable space;Energy Management
emergencies;Health and Safety
Contract Award Management;People Management
SAP Business;SAP Finacial Services
fixed asset management;Business Management
general accounting;Accounting
DevExpress;DevExpress
cdl;Driver License Ability
business action plans;Business Analysis
IFRS/IAS;Accounting
chemistry engineering;Chemistry
social science;Social Science
Desktop Terminal Management;Computer Science
client retention;Customer Support
University degree in Automatics;Electronics
presales;Sales
education;Teaching and Classroom Instruction
Sustainable Materials;Materials Engineering
cloud;Cloud-Computing
ISO 9000;Quality Management System
Safety Case Development;Health and Safety
SAP Material Management;SAP
patent matters;Intellectual Property and Copyright Law
auditory and visual abilities;Physical Endurance and Skills
Beauty;Makeup Artistry and Application
waste removal;Waste Management
Customer Development;Customer Support
Floor Design;Graphic Design
Solving Problems;Problem Solving
information and communication technologies;Communication
409A;Legal Counseling
partner relationship evaluation;Customer Relationship Management
truck loading rules;Rigid Vehicles
B2B Marketing Strategy;B2B Marketing
day-end reports;Reporting
locations;Operations Management
organizational skills;Operations Management
Editorial;Publishing
standardization;Operations Management
Editoria;Publishing
on-property driving skills;Driver License Ability
Expatriate Tax;Tax Analyst
Integrated marketing;Digital Marketing
sales assistant;Sales
problem solving ability;Problem Solving
Shelter Management;Immigration Law and Visa Services
beauty industry experience;Beauty Retail and Sales
wardrobe and clientele experience (optional);Fashion Styling and Personal Shopping
following policies;Workplace Policy Conduct
urgency;Time Management
144A;Legal Counseling
7D Mark II;Photography
Point of Purchase;Process Management
Customer Relations;Customer Relationship Management
Ravenna;Traveling
Cisco IOS;Cisco Systems
stakeholder communication;Economics
customer needs;Customer Support
technical documentation review;Business Analysis
QA analysis;Quality Control
performance reporting;Performance Analysis
supervisory control and data acquisition;SCADA
Rust;Product Management
HR Negotiation;HR
Flexible Approach to Software Testing;Software Development
Storage;Inventory Management
Microsoft Office skills;Microsoft Office
Japanese and English fluency;Communication
Storage Systems;Inventory Management
map reading;Operations Management
3PAR;Database Administration
food preservation techniques;Food Safety
System Administration;System Administration
legal knowledge;Federal and State Law
Microsoft Software Debugging;Microsoft Windows
art;Art
non-functional requirements;Engineering
excellent academic background;Well Educated
Customer Dispute Management;Customer Support
verbal;Communication
Web Strategy;Web Development
Navision;Dynamics NAV
Store Merchandising;Merchandising
visual standards;Product Design
nfp;Accounting
wardrobe;Fashion Styling and Personal Shopping
vSphere;vSphere
display changes;Advertising
Application Suite Maintenance;Software Maintenance
Google Website Optimizer;Google Optimize
Apache Airflow;Apache Airflow
attention to detail and organization;Attention to Detail
Amendments;Legal Counseling
continuous learner;Result Driven
service standards;Operations Management
MS Excel;Microsoft Excel
Network Analysis;Data Analysis
emergency management;Security Protocols
containerized and serverless production software tools;DevOps
crude oil;Oil and Gas Management
RSLogix;Computer Programming
Women's Ready to Wear;Apparel and Fashion Design
Information Extraction;Data Collection
merchandising skills;Merchandising
Packaging Management;Packaging
structure maintenance and repair;Maintenance
Safety Design;Product Design
GCC;Software Development
Operating Systems;Operations Management
aws kinesis;AWS
connection building;Communication
Content Strategy;Content Marketing
Green Economy;Sustainability
Display-Werbung;Advertising
technical communication;Communication
Object-Oriented Programming;Computer Programming
financial valuation;Financial Analysis
improvement plans;Business Development
CSS;CSS
User Scenarios;User Experience Design
HR Strategic Planning;HR Analytics
Google Adwords Fundamentals;Advertising
Help Scout;Procurement
Patent Monitoring;Intellectual Property and Copyright Law
jQuery;jQuery
Mining;Data Mining
Economic Data Analysis;Data Analysis
churn prediction;Business Analysis
life insurance;Healthcare Administration and Management
processing services;Order Processing
AIX;AIX
Inspection Plans;Auditing
master degree;Well Educated
AutoCAD LT;AutoCAD
Software Debugging;Software Development
fluent English proficiency;English
job-related duties;Accountability
influence;Influencing Skills
nodejs;JavaScript
brand experience;Experienced
cadastral knowledge;Civil Engineering
Advert;Advertising
retail energy;Energy Management
Project Fire Protection Design;Firefighting and Fire Prevention
priority management;Prioritization Skills
LinkedIn Marketing Solutions;Social Media Marketing
talent pipeline;Talent Acquisition and Recruitment
cleanliness;Personal Care
luxury fashion industry experience;Luxury Management
technical drawings;Graphic Design
solution architecture;Computer Science
laboratory skills;Biochemistry
Electromechanical Engineering;Electromechanical Engineering
PV module assembly;MEP Engineering
SAP Contract Management;People Management
Verkaufsanalyse;Market Research
Startup Ventures;New Business
Hydrogen;Chemistry
Reservations;Hotel Management and Operations
NoSQL;NoSQL
Mortgage Management;Financial Services
35mm;Photography
AFLP;Genetics
commercial quality standards;Quality Control
Visual Communication;Graphic Design
Credit Cards;Financial Services
training execution;Training
Financial statements;Accounting
Data Center;Data Management
collaborate;Teamwork
user testing;User Experience Design
ITIL;IT Operations & Management
Profiling;Consumer Behavior Analysis
Sports Administration;Sports Administration
Plant Safety;Health And Safety
HR Training;Employee Training and Development
Exports;International Trading
utility scale energy storage;Energy Management
HR General Management;HR
Ion Chromatography;Photography
Anypoint Platform;Operations Management
11gR2;Database Administration
Lifestyle Brands;Brand Marketing
Preselection;People Management
Senior Account;Account Management
scanning;Product Management
spanish (a plus);Spanish
CAD;CAD
Environmental Regulation;Environmental Science
Business Innovation;Business Strategy
statistics analysis;Statistics
Apache Spark;Apache Spark
native product development;Product Development
wind farm operations and maintenance experience;Industrial Engineering
fixed term contract;People Management
Unified Modeling Language;Unified Model Language
hse awareness;Sustainability
RTW experience;Clothing Industry Process
Pirelli;Automotives
Climate Modeling;Climatology
seasonal position;Business Process
Switchboard;Operations Management
SAS Programming;Computer Science
administrative duties and reporting;Accounting
MRP system;Procurement
basic machine functions;Industrial Engineering
workshop facilitation;Business Planning
Energy Loss Detection;Energy Management
LOPA;LOPA
Equity Research;Business Analysis
Onboarding;People Management
work authorization;Employment and Labor Law
french communication;French
health;Health and Safety
Bologna;International Relations
CIPP/E;Legal Counseling
pricing structures;Marketing Management
geoscientist;Environmental Science
team-work;Teamwork
Factory Management;Manufacturing
